fishNum,dateSample,dateTimeSample,dateProcessed,species,spCode,totalLength,forkLength,weight,girth,dorsoLatHeight,clipTag,sex,mat,airbladderTotalLength,airBladderWidth,airbladderWeight,airBladderWeightCond,agingStructure,tissueSample
BUR001,2022-07-24,2022-07-24 1103,2022-07-26,burbot,271,465,,712,204,31,N,1,1,110,,,0,A,MD
BUR002,2022-07-24,2022-07-24 1124,2022-07-26,burbot,271,459,,788,215,38,N,1,1,132,24,,0,2A,MD
BUR003,2022-07-24,2022-07-24 1210,2022-07-26,burbot,271,490,,818,207,37,N,1,1,153,29,1.5,0,2A,MD
LT001,2022-07-21,2022-07-21 1656,2022-07-27,lakeTrout,81,454,410,930,249,48,N,2,1,75,29,4,1,2A,MD
LT002,2022-07-22,2022-07-22 1108,2022-07-27,lakeTrout,81,390,354,504,196,38,N,1,2,153,55,2.5,1,2A,MD
LT003,2022-07-22,2022-07-22 1206,2022-07-27,lakeTrout,81,559,507,1656,295,58,N,2,2,192,53,6,1,2A,MD
LT004,2022-07-22,2022-07-22 1731,2022-07-27,lakeTrout,81,571,529,1740,290,57,N,2,2,230,48,5,1,2A,MD
LT005,2022-07-23,2022-07-23 1028,2022-07-27,lakeTrout,81,343,311,342,159,34,N,2,1,118,16,1.5,0,2A,MD
LT006,2022-07-23,2022-07-23 1819,2022-07-26,lakeTrout,81,590,548,2038,310,55,N,1,2,210,46,6.5,1,2A,MD
LT007,2022-07-23,2022-07-23 1911,2022-07-27,lakeTrout,81,631,567,2298,321,58,N,2,2,225,45,7,1,2A,MD
LT008,2022-07-26,2022-07-26 0932,2022-07-26,lakeTrout,81,630,575,2520,322,68,N,2,2,235,45,7,0,2A,MD
LT009,2022-07-26,2022-07-26 1056,2022-07-26,lakeTrout,81,521,474,1132,236,49,N,2,2,200,24,2.5,1,2A,MD
LT010,2022-07-26,2022-07-26 1137,2022-07-26,lakeTrout,81,532,489,1464,263,51,N,2,2,202,23,4.5,1,2A,MD
LT011,2022-07-26,2022-07-26 1238,2022-07-26,lakeTrout,81,590,547,1944,283,59,N,2,2,225,22,5,1,2A,MD
LT012,2022-07-27,2022-07-27 0933,2022-07-28,lakeTrout,81,555,505,1636,272,58,N,2,2,207,31,3.5,1,2A,MD
LT013,2022-07-27,2022-07-27 1153,2022-07-27,lakeTrout,81,524,471,1396,273,55,N,1,2,207,38,4,1,2A,MD
LT014,2022-07-27,2022-07-27 1230,2022-07-27,lakeTrout,81,539,486,1454,270,57,N,2,2,187,25,4.5,1,2A,MD
LT015,2022-07-27,2022-07-27 1446,2022-07-28,lakeTrout,81,499,448,1160,250,53,N,1,2,191,23,4.5,1,2A,MD
LT016,2022-07-27,2022-07-27 1528,2022-07-27,lakeTrout,81,503,463,1278,259,55,N,1,2,199,26,5,1,2A,MD
LT017,2022-07-28,2022-07-28 0942,2022-07-28,lakeTrout,81,472,426,932,242,52,N,1,2,198,39,3,1,2A,MD
LT018,2022-07-28,2022-07-28 1020,2022-07-28,lakeTrout,81,486,440,1132,255,53,N,1,2,186,28,2,1,2A,MD
LT019,2022-07-28,2022-07-28 1143,2022-07-28,lakeTrout,81,648,580,2644,335,63,N,2,2,278,32,7,1,2A,MD
LT020,2022-07-28,2022-07-28 1330,2022-07-28,lakeTrout,81,578,522,1788,291,60,N,1,2,230,32,5,1,2A,MD
LT021,2022-07-28,2022-07-28 1750,2022-07-28,lakeTrout,81,522,469,1242,249,59,N,2,2,206,21,3,1,2A,MD
LWF001,2022-07-23,2022-07-23 1911,2022-07-26,lakeWhitefish,91,364,324,396,190,40,N,2,2,145,33,1.5,0,2A,MD
LWF002,2022-07-23,2022-07-23 1955,2022-07-26,lakeWhitefish,91,310,275,258,159,35,N,2,1,117,26,0.5,1,2A,MD
LWF003,2022-07-23,2022-07-23 2035,2022-07-26,lakeWhitefish,91,220,196,76,105,22,N,2,1,80,,,0,2A,MD
LWF004,2022-07-25,2022-07-25 1946,2022-07-26,lakeWhitefish,91,320,290,320,178,36,N,2,2,143,34,1,1,2A,MD
LWF005,2022-07-25,2022-07-25 2015,2022-07-26,lakeWhitefish,91,351,313,352,71,39,N,2,1,136,29,1,1,2A,MD
LWF006,2022-07-25,2022-07-25 2052,2022-07-26,lakeWhitefish,91,228,202,98,113,24,N,1,1,82,19,0.5,1,2A,MD
LWF007,2022-07-26,2022-07-26 1007,2022-07-26,lakeWhitefish,91,446,411,692,220,42,N,2,2,181,43,3,1,2A,MD
LWF009,2022-07-27,2022-07-27 1013,2022-07-27,lakeWhitefish,91,291,258,182,140,31,N,1,2,105,24,0.5,0,2A,MD
LWF010,2022-07-27,2022-07-27 1053,2022-07-27,lakeWhitefish,91,293,260,182,136,30,N,2,2,109,27,1,0,2A,MD
LWF011,2022-07-27,2022-07-27 1844,2022-07-27,lakeWhitefish,91,401,368,606,205,36,N,1&2,2,168,35,2,1,2A,MD
LWF012,2022-07-27,2022-07-27 2020,2022-07-27,lakeWhitefish,91,330,295,278,166,36,N,1,2,125,27,1.5,1,2A,MD
LWF013,2022-07-27,2022-07-27 2055,2022-07-27,lakeWhitefish,91,255,238,134,127,27,N,2,2,100,17,0.5,0,2A,MD
LWF014,2022-07-27,2022-07-27 2130,2022-07-27,lakeWhitefish,91,249,225,126,128,27,N,1,2,96,16,0.5,1,2A,MD
LWF015,2022-07-28,2022-07-28 1100,2022-07-28,lakeWhitefish,91,404,366,596,210,44,N,1,2,168,21,2,1,2A,MD
SMB001,2022-07-26,2022-07-26 1330,2022-07-26,smallmouthBass,316,461,431,1412,305,43,N,1,2,106,54,3,0,2A,MD
SMB002,2022-07-26,2022-07-26 1420,2022-07-27,smallmouthBass,316,268,252,272,170,22,N,2,2,72,26,0.5,0,2A,MD
SMB003,2022-07-26,2022-07-26 1550,2022-07-26,smallmouthBass,316,443,422,1488,325,43,N,1,2,52,45,3.5,0,2A,MD
SMB004,2022-07-26,2022-07-26 1620,2022-07-26,smallmouthBass,316,420,395,1258,273,31,N,1,2,120,50,2,1,2A,MD
SMB005,2022-07-26,2022-07-26 1700,2022-07-26,smallmouthBass,316,414,392,1132,293,38,N,1,2,104,40,0.5,0,2A,MD
SMB006,2022-07-27,2022-07-27 1911,2022-07-27,smallmouthBass,316,479,449,1650,334,46,N,1,2,104,48,3,0,2A,MD
SMB007,2022-07-28,2022-07-28 1223,2022-07-28,smallmouthBass,316,459,432,1476,320,45,N,1,2,107,60,2.5,1,2A,MD
SMB008,2022-07-28,2022-07-28 1410,2022-07-28,smallmouthBass,316,190,178,94,125,15,N,2,1,56,29,0.5,0,2A,MD
SMB009,2022-07-28,2022-07-28 1456,2022-07-28,smallmouthBass,316,250,237,234,168,19,N,1,1,63,30,1,0,2A,MD
SMB010,2022-07-28,2022-07-28 1830,2022-07-28,smallmouthBass,316,419,395,1112,279,39,N,2,2,100,50,1.5,1,2A,MD
SMB011,2022-07-28,2022-07-28 1910,2022-07-28,smallmouthBass,316,406,389,986,270,36,N,1,2,99,43,2,0,2A,MD
SMB012,2022-07-28,2022-07-28 1948,2022-07-28,smallmouthBass,316,287,278,408,207,26,N,1,1,77,19,0.5,1,2A,MD
SMB013,2022-07-28,2022-07-28 2030,2022-07-28,smallmouthBass,316,255,241,266,177,23,N,2,1,63,21,1,0,2A,MD
